('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         751453 function calls (730916 primitive calls) in 1.801 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      331    0.927    0.003    0.927    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      844    0.294    0.000    0.294    0.000 {built-in method posix.stat}
      160    0.075    0.000    0.075    0.000 {built-in method _io.open_code}
        1    0.061    0.061    0.061    0.061 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      160    0.032    0.000    0.032    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.032    0.032    0.032    0.032 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      225    0.031    0.000    0.230    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.028    0.028    0.028    0.028 {method 'connect' of '_socket.socket' objects}
 3213/196    0.014    0.000    0.042    0.000 _parser.py:512(_parse)
       20    0.014    0.001    0.014    0.001 {built-in method posix.listdir}
     2753    0.014    0.000    0.069    0.000 parser.py:301(parse_starttag)
    25553    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
        1    0.011    0.011    0.011    0.011 {built-in method _socket.getaddrinfo}
      160    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        2    0.010    0.005    0.114    0.057 parser.py:134(goahead)
 3970/188    0.008    0.000    0.020    0.000 _compiler.py:37(_compile)
      9/7    0.008    0.001    0.011    0.002 {built-in method _imp.create_dynamic}
86580/86572    0.007    0.000    0.008    0.000 {built-in method builtins.isinstance}
    71604    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     2635    0.005    0.000    0.008    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
56248/51501    0.005    0.000    0.006    0.000 {built-in method builtins.len}
       42    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  512/508    0.004    0.000    0.064    0.000 {built-in method builtins.__build_class__}
     2753    0.004    0.000    0.029    0.000 __init__.py:722(handle_starttag)
     5748    0.004    0.000    0.015    0.000 __init__.py:586(endData)
     2606    0.004    0.000    0.023    0.000 parser.py:379(parse_endtag)
     2754    0.004    0.000    0.014    0.000 element.py:1199(__init__)
    23175    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
     8148    0.004    0.000    0.004    0.000 element.py:156(setup)
     2753    0.004    0.000    0.034    0.000 _htmlparser.py:105(handle_starttag)
 1205/188    0.004    0.000    0.042    0.000 _parser.py:452(_parse_sub)
4077/1440    0.004    0.000    0.007    0.000 element.py:2336(_matches)
      895    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
    14474    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     8268    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    14817    0.003    0.000    0.004    0.000 _parser.py:261(get)
 3976/367    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
3375/3349    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0xa44b40}
    10983    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
     2752    0.003    0.000    0.005    0.000 __init__.py:688(_popToTag)
    20006    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      407    0.002    0.000    0.222    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
     2697    0.002    0.000    0.006    0.000 __init__.py:620(object_was_parsed)
        1    0.002    0.002    0.018    0.018 dammit.py:70(_populate_class_variables)
    22023    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     2754    0.002    0.000    0.003    0.000 __init__.py:572(pushTag)
     5450    0.002    0.000    0.014    0.000 element.py:2303(search)
     8084    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2754    0.002    0.000    0.016    0.000 _htmlparser.py:160(handle_endtag)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
     5787    0.002    0.000    0.002    0.000 _parser.py:176(append)
    15208    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2753    0.002    0.000    0.010    0.000 element.py:2240(search_tag)
     2752    0.002    0.000    0.014    0.000 __init__.py:763(handle_endtag)
    15255    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     2697    0.002    0.000    0.004    0.000 element.py:943(__new__)
    13033    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2753    0.002    0.000    0.005    0.000 parser.py:345(check_for_whole_start_tag)
     2753    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
      160    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    11421    0.002    0.000    0.002    0.000 _parser.py:256(match)
        1    0.002    0.002    0.017    0.017 element.py:792(_find_all)
     2177    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     2180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    13714    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     9497    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
     1938    0.001    0.000    0.002    0.000 __init__.py:91(_replace_charref)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
       19    0.001    0.000    0.206    0.011 {method 'join' of 'bytes' objects}
      303    0.001    0.000    0.072    0.000 __init__.py:280(_compile)
    10042    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      723    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
6188/6120    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
