John Lasseter: 2
Joe Johnston: 8
Howard Deutch: 9
Forest Whitaker: 3
Charles Shyer: 6
Michael Mann: 7
Sydney Pollack: 13
Peter Hewitt: 6
Peter Hyams: 11
Martin Campbell: 8
Rob Reiner: 17
Mel Brooks: 11
Simon Wells: 3
Oliver Stone: 17
Renny Harlin: 12
Martin Scorsese: 29
Ang Lee: 11
sAllison AndersAlexandre RockwellRobert Rodriguez: 1
Steve Oedekerk: 3
Joseph Ruben: 7
Barry Sonnenfeld: 10
Jon Amiel: 5
Richard Donner: 15
Victor Salva: 4
 Mike Figgis contemplated abandoning the project, but decided the film would make a good memorial for O'Brien.: 1
Oliver Parker: 6
Lesli Linka Glatter: 1
Roger Michell: 5
sMarc CaroJean-Pierre Jeunet: 2
Yimou Zhang: 8
John N. Smith: 3
Terry Gilliam: 12
Chris Noonan: 2
Tim Robbins: 3
Andy Tennant: 9
Amy Heckerling: 8
Darrell Roodt: 4
Richard Loncraine: 3
sAlbert HughesAllen Hughes: 4
Michael Hoffman: 6
Paul W.S. Anderson: 9
Gus Van Sant: 13
Jocelyn Moorhouse: 4
David Fincher: 10
sMike GabrielEric Goldberg: 1
Patricia Rozema: 4
Bryan Singer: 9
Woody Allen: 45
Gianni Amelio: 3
Holly Goldberg Sloan: 1
Ulu Grosbard: 2
Jodie Foster: 3
sMichael RadfordMassimo Troisi: 1
Frank Oz: 9
John Schlesinger: 10
Stephen Herek: 12
Paris Barclay: 1
Bill Bennett: 1
Jason Bloom: 2
Farhad Mann: 1
Josiane Balasko: 1
's Cut?: 23
 Robert Rodriguez never intended it to be in the final cut, but after the studio included the line in a trailer, he felt obligated to include it in the film.: 1
Andrew Sipes: 1
Noah Baumbach: 9
Claude Lelouch: 4
Michael Goldenberg: 1
Steve Miner: 10
Christian Duguay: 5
Susanne Ofteringer: 1
Sean Penn: 3
Brian Gibson: 4
Jafar Panahi: 3
Gary Fleder: 7
Marleen Gorris: 3
Tim Reid: 1
Philip Haas: 2
Ridley Scott: 21
Ken Kwapis: 7
Penelope Spheeris: 7
John Badham: 12
Stephen Frears: 12
Wes Craven: 15
Ted Demme: 6
John Woo: 15
Kenneth Branagh: 14
Mathieu Kassovitz: 4
Nick Broomfield: 4
Harold Becker: 6
Wes Anderson: 10
Nick Castle: 5
John Dahl: 5
Dennis Dugan: 13
Clint Eastwood: 28
Doris Dörrie: 4
Brian Henson: 2
Robert Leacock: 1
Mel Gibson: 5
Stanley Tong: 5
Barbet Schroeder: 8
Jon Blair: 1
Benjamin Ross: 2
Eric Schaeffer: 3
Andrew Davis: 10
Reginald Hudlin: 5
Wong Kar-Wai: 8
David O. Russell: 7
Peter MacDonald: 4
Michel Negroponte: 1
Bryan Gordon: 2
 William Friedkin changed Eszterhas's script so much, he threatened to remove his name from the credits. Paramount settled with him by giving him a "blind script deal" worth $2-4 million. Later, Friedkin admitted that he did virtually rewrite the script, but Friedkin also said that this was his favorite film.: 1
David S. Ward: 5
Dirk Shafer: 1
Jon Avnet: 5
Mike Nichols: 15
Edward Burns: 3
 Michael Bay didn't like the script and often engaged Will Smith and Martin Lawrence in discussions about how the dialogue and scenes could improve. He often allowed them to improvise while the cameras were rolling. He secretly told Will to call Lawrence a bitch before the car-scene. The whole "two bitches in the sea" was improvised, as was Martin's comment when Téa Leoni called him gay.: 1
Christopher Cain: 5
Scott Kalvert: 2
Mike Newell: 10
Hal Hartley: 5
Ron Howard: 24
Michael Caton-Jones: 8
Abel Ferrara: 6
Joel Schumacher: 19
Luis Buñuel: 8
John Boorman: 9
sPaul AusterWayne WangHarvey Wang: 1
Michael Moore: 6
Brad Silberling: 6
Spike Lee: 21
Frank Marshall: 4
Tony Scott: 15
Terry Zwigoff: 4
Robert Rodriguez: 10
Carl Franklin: 5
John McTiernan: 10
Gregg Araki: 2
Jerry Zucker: 3
Dwight H. Little: 6
Iain Softley: 6
Christopher Ashley: 1
Robert Longo: 1
Danny Cannon: 3
John Fortenberry: 2
Larry Clark: 2
Tom DiCillo: 3
Clive Barker: 3
Denys Arcand: 4
Antonia Bird: 3
Kevin Smith: 11
Bryan Spicer: 3
 Anthony Waller met Sir Alec Guinness quite by chance in Hamburg in 1985, where he asked him if he was interested in doing a one-scene cameo. To his surprise, Guinness said he'd be delighted and that he would do it for free. The problem was that Guinness was fully booked for the next eighteen months, so Waller suggested they shoot the scene the following morning in an underground car park. Guinness readily agreed and, true to his word, took no payment with the provision that he not be credited in the film or there be no publicity surrounding his involvement in it. This is why he is billed as "Mystery Guest Star" in the end credits.: 1
Michael Almereyda: 5
Irwin Winkler: 4
Chris Columbus: 14
Daisy von Scherler Mayer: 3
Gregory Widen: 1
Norman René: 2
Todd Haynes: 5
Roland Joffé: 7
Paul Verhoeven: 10
Wayne Wang: 8
Lasse Hallström: 15
Roger Donaldson: 13
Kathryn Bigelow: 7
Jacques Demy: 1
Martha Coolidge: 8
Agnieszka Holland: 5
Beeban Kidron: 4
Geoff Murphy: 4
Diane Keaton: 2
Douglas Keeve: 1
Alfonso Arau: 2
Kevin Reynolds: 8
Desmond Nakano: 1
Walter Hill: 12
Mike Figgis: 4
Greg Beeman: 3
Nikita Mikhalkov: 1
Milcho Manchevski: 2
Richard Linklater: 15
Tamra Davis: 6
Guy Ferland: 3
Herbert Ross: 12
Peter Horton: 1
Stuart Gordon: 9
Pat O'Connor: 4
Jeremy Leven: 1
Barry Levinson: 21
Jack Baran: 1
Roman Polanski: 16
Taylor Hackford: 8
sPeter FarrellyBobby Farrelly: 1
Atom Egoyan: 5
Garry Marshall: 16
Tim Burton: 17
Lawrence Kasdan: 10
Billy Crystal: 3
Phillip Borsos: 1
Kevin Lima: 3
Brett Leonard: 3
Carlo Carlei: 1
Gérard Corbiau: 1
Mark Lewis: 1
Steve James: 3
Peter Jackson: 13
Randall Miller: 3
Bernard Rose: 5
Steven Brill: 8
J.F. Lawton: 1
Fred Schepisi: 8
Neil Jordan: 14
James Ivory: 7
James Melkonian: 1
Ivan Reitman: 14
Arne Glimcher: 2
Michael Gottlieb: 3
George Lucas: 6
Gillian Armstrong: 3
Alfonso Cuarón: 6
Ken Loach: 8
Edward Zwick: 11
Allison Anders: 3
Glenn Gordon Caron: 2
Stephen Gyllenhaal: 2
Nicholas Hytner: 5
James Orr: 2
Nora Ephron: 6
Richard Benjamin: 8
Les Mayfield: 6
David Frankel: 5
Gregory Nava: 4
Marc Rocco: 3
Robert Benton: 7
Michael Apted: 17
Nick Gomez: 2
Tôru Murakawa: 1
Vadim Jean: 2
Alan Jacobs: 1
's Cut features roughly 4 minutes of material removed from the theatrical version prior to release in order to get a R rating. Here are details of the additional scenes, in chronological order:
there are three additional shots in the pre-credits scene in the diner. The first is found when Mallory knocks Sonny (Richard Lineback) over the partition. In the theatrical cut, the scene immediately cuts to Sonny's friend (James Gammon) getting up out of his chair to intervene. But in the : 1
Norman Jewison: 13
Lee Tamahori: 7
Anne Goursaud: 1
Wolfgang Petersen: 10
Luc Besson: 12
Mira Nair: 7
Joshua Brand: 1
Quentin Tarantino: 9
Robert Redford: 7
Kayo Hatta: 1
Patrice Chéreau: 1
Sam Raimi: 13
Peter Yates: 8
Robert Altman: 17
Krzysztof Kieslowski: 7
Fred Gerber: 1
George Mihalka: 2
Harold Ramis: 11
Richard Rich: 3
John Sayles: 9
Luis Llosa: 3
Roland Emmerich: 11
John Pasquin: 4
Frank Darabont: 4
Danny Boyle: 10
sScott McGeheeDavid Siegel: 2
sTomás Gutiérrez AleaJuan Carlos Tabío: 1
George Huang: 1
sGeoff BurtonKevin Dowling: 1
Kelly Makin: 2
 Zhang Yimou was forbidden from filmmaking for 5 years by the Chinese Communist Party as a result of making this film. However, due to outside pressure this was later withdrawn.: 1
Rachel Talalay: 2
Ernest R. Dickerson: 6
David Carson: 2
